Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Prediction
2852,1758274,5,3,0,0,0,81
15106,1752621,5,3,0,2,0,2
15467,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2010,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
21618,1768790,5,3,0,0,0,3
15971,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,2,0,2
2542,1752621,5,3,0,2,0,2
2451,1752621,5,3,0,0,0,2
20351,1758274,5,3,0,0,0,3
20351,1758274,5,3,0,0,0,81
